index,set,voiced,voiceless,step,underscore,extension,path
34,Brimal_Primal_3,B,P,23,_,.mp3,Brimal_Primal_3_23.mp3
35,Brior_Prior_3,B,P,22,_,.mp3,Brior_Prior_3_22.mp3
36,Browl_Prowl_3,B,P,18,_,.mp3,Browl_Prowl_3_18.mp3
37,Bry_Pry_1,B,P,22,_,.mp3,Bry_Pry_1_22.mp3
38,Burial_Purial_1,B,P,18,_,.mp3,Burial_Purial_1_18.mp3
39,Burrow_Purrow_3,B,P,13,_,.mp3,Burrow_Purrow_3_13.mp3
40,Bylon_Pylon_1,B,P,17,_,.mp3,Bylon_Pylon_1_17.mp3
41,Balloon_Palloon_3,B,P,8,_,.mp3,Balloon_Palloon_3_8.mp3
42,Banana_Panana_3,B,P,9,_,.mp3,Banana_Panana_3_9.mp3
43,Barn_Parn_1,B,P,8,_,.mp3,Barn_Parn_1_8.mp3
44,Bawn_Pawn_3,B,P,17,_,.mp3,Bawn_Pawn_3_17.mp3
45,Beninsula_Peninsula_3,B,P,20,_,.mp3,Beninsula_Peninsula_3_20.mp3
46,Berform_Perform_3,B,P,15,_,.mp3,Berform_Perform_3_15.mp3
47,Billion_Pillion_3,B,P,14,_,.mp3,Billion_Pillion_3_14.mp3
48,Billionaire_Pillionaire_3,B,P,8,_,.mp3,Billionaire_Pillionaire_3_8.mp3
49,Boom_Poom_1,B,P,12,_,.mp3,Boom_Poom_1_12.mp3
50,Brime_Prime_1,B,P,12,_,.mp3,Brime_Prime_1_12.mp3
51,Brown_Prown_3,B,P,7,_,.mp3,Brown_Prown_3_7.mp3
52,Ballerina_Pallerina_1,B,P,12,_,.mp3,Ballerina_Pallerina_1_12.mp3
53,Baloney_Paloney_1,B,P,7,_,.mp3,Baloney_Paloney_1_7.mp3
54,Barallel_Parallel_3,B,P,14,_,.mp3,Barallel_Parallel_3_14.mp3
55,Barely_Parely_1,B,P,7,_,.mp3,Barely_Parely_1_7.mp3
56,Barlor_Parlor_3,B,P,18,_,.mp3,Barlor_Parlor_3_18.mp3
57,Barren_Parren_3,B,P,9,_,.mp3,Barren_Parren_3_9.mp3
58,Belly_Pelly_3,B,P,16,_,.mp3,Belly_Pelly_3_16.mp3
59,Benign_Penign_3,B,P,7,_,.mp3,Benign_Penign_3_7.mp3
60,Biannual_Piannual_3,B,P,4,_,.mp3,Biannual_Piannual_3_4.mp3
61,Bioneer_Pioneer_3,B,P,17,_,.mp3,Bioneer_Pioneer_3_17.mp3
62,Blanner_Planner_3,B,P,19,_,.mp3,Blanner_Planner_3_19.mp3
63,Blea_Plea_3,B,P,15,_,.mp3,Blea_Plea_3_15.mp3
64,Blue_Plue_3,B,P,13,_,.mp3,Blue_Plue_3_13.mp3
65,Blyer_Plyer_1,B,P,14,_,.mp3,Blyer_Plyer_1_14.mp3
66,Boil_Poil_1,B,P,11,_,.mp3,Boil_Poil_1_11.mp3
67,Bollen_Pollen_3,B,P,20,_,.mp3,Bollen_Pollen_3_20.mp3
68,Bolymer_Polymer_3,B,P,18,_,.mp3,Bolymer_Polymer_3_18.mp3
69,Brain_Prain_3,B,P,11,_,.mp3,Brain_Prain_3_11.mp3
70,Brayer_Prayer_1,B,P,16,_,.mp3,Brayer_Prayer_1_16.mp3
71,Breliminary_Preliminary_1,B,P,20,_,.mp3,Breliminary_Preliminary_1_20.mp3
72,Bremier_Premier_3,B,P,15,_,.mp3,Bremier_Premier_3_15.mp3
73,Brewery_Prewery_1,B,P,11,_,.mp3,Brewery_Prewery_1_11.mp3
74,Brimal_Primal_3,B,P,19,_,.mp3,Brimal_Primal_3_19.mp3
75,Brior_Prior_3,B,P,18,_,.mp3,Brior_Prior_3_18.mp3
76,Browl_Prowl_3,B,P,14,_,.mp3,Browl_Prowl_3_14.mp3
77,Bry_Pry_1,B,P,18,_,.mp3,Bry_Pry_1_18.mp3
78,Burial_Purial_1,B,P,14,_,.mp3,Burial_Purial_1_14.mp3
79,Burrow_Purrow_3,B,P,9,_,.mp3,Burrow_Purrow_3_9.mp3
80,Bylon_Pylon_1,B,P,13,_,.mp3,Bylon_Pylon_1_13.mp3
81,Balloon_Palloon_3,B,P,10,_,.mp3,Balloon_Palloon_3_10.mp3
