index,group,yes_side,test_order,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,path
125,NA,left,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,0,AHD_AHT_3_0.mp3
126,NA,left,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,0,AHG_AHK_3_0.mp3
127,NA,left,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,0,IHB_IHP_5_0.mp3
128,NA,left,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,0,IHD_IHT_3_0.mp3
129,NA,left,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,0,IHG_IHK_5_0.mp3
130,NA,left,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,0,UHB_UHP_5_0.mp3
131,NA,left,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,0,UHD_UHT_5_0.mp3
132,NA,left,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,0,UHG_UHK_5_0.mp3
133,NA,left,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,2,,B,P,NA,NA,4,AAB_AAP_1_4.mp3
134,NA,left,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,2,,D,T,NA,NA,9,AAD_AAT_5_9.mp3
135,NA,left,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,2,,G,K,NA,NA,4,AAG_AAK_3_4.mp3
136,NA,left,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,3,AHB_AHP_3_3.mp3
137,NA,left,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,16,AHD_AHT_3_16.mp3
138,NA,left,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,8,AHG_AHK_3_8.mp3
139,NA,left,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,3,IHB_IHP_5_3.mp3
140,NA,left,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,2,IHD_IHT_3_2.mp3
141,NA,left,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,7,IHG_IHK_5_7.mp3
142,NA,left,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,3,UHB_UHP_5_3.mp3
143,NA,left,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,9,UHD_UHT_5_9.mp3
144,NA,left,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,7,UHG_UHK_5_7.mp3
145,NA,left,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,2,,B,P,NA,NA,6,AAB_AAP_1_6.mp3
146,NA,left,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,2,,D,T,NA,NA,11,AAD_AAT_5_11.mp3
147,NA,left,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,2,,G,K,NA,NA,6,AAG_AAK_3_6.mp3
148,NA,left,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,5,AHB_AHP_3_5.mp3
149,NA,left,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,18,AHD_AHT_3_18.mp3
150,NA,left,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,10,AHG_AHK_3_10.mp3
151,NA,left,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,5,IHB_IHP_5_5.mp3
152,NA,left,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,4,IHD_IHT_3_4.mp3
153,NA,left,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,9,IHG_IHK_5_9.mp3
154,NA,left,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,5,UHB_UHP_5_5.mp3
155,NA,left,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,11,UHD_UHT_5_11.mp3
156,NA,left,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,9,UHG_UHK_5_9.mp3
157,NA,left,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,2,,B,P,NA,NA,8,AAB_AAP_1_8.mp3
158,NA,left,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,2,,D,T,NA,NA,13,AAD_AAT_5_13.mp3
159,NA,left,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,2,,G,K,NA,NA,8,AAG_AAK_3_8.mp3
160,NA,left,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,7,AHB_AHP_3_7.mp3
161,NA,left,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,20,AHD_AHT_3_20.mp3
162,NA,left,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,12,AHG_AHK_3_12.mp3
163,NA,left,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,7,IHB_IHP_5_7.mp3
164,NA,left,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,6,IHD_IHT_3_6.mp3
165,NA,left,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,11,IHG_IHK_5_11.mp3
166,NA,left,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,7,UHB_UHP_5_7.mp3
167,NA,left,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,13,UHD_UHT_5_13.mp3
168,NA,left,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,11,UHG_UHK_5_11.mp3
169,NA,left,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,2,,B,P,NA,NA,12,AAB_AAP_1_12.mp3
170,NA,left,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,2,,D,T,NA,NA,17,AAD_AAT_5_17.mp3
171,NA,left,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,2,,G,K,NA,NA,12,AAG_AAK_3_12.mp3
172,NA,left,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,11,AHB_AHP_3_11.mp3
173,NA,left,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,24,AHD_AHT_3_24.mp3
174,NA,left,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,16,AHG_AHK_3_16.mp3
175,NA,left,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,11,IHB_IHP_5_11.mp3
176,NA,left,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,10,IHD_IHT_3_10.mp3
177,NA,left,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,15,IHG_IHK_5_15.mp3
178,NA,left,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,11,UHB_UHP_5_11.mp3
179,NA,left,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,17,UHD_UHT_5_17.mp3
180,NA,left,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,15,UHG_UHK_5_15.mp3
181,NA,left,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,2,,B,P,NA,NA,14,AAB_AAP_1_14.mp3
