index,set,voiced,voiceless,step,underscore,extension,path
204,snag_snack_3,snag,snack,21,_,.mp3,snag_snack_3_21.mp3
205,sob_sop_3,sob,sop,22,_,.mp3,sob_sop_3_22.mp3
206,swab_swap_3,swab,swap,19,_,.mp3,swab_swap_3_19.mp3
207,wed_wet_3,wed,wet,18,_,.mp3,wed_wet_3_18.mp3
208,weed_wheat_3,weed,wheat,20,_,.mp3,weed_wheat_3_20.mp3
209,whig_wick_1,whig,wick,9,_,.mp3,whig_wick_1_9.mp3
210,wide_white_3,wide,white,12,_,.mp3,wide_white_3_12.mp3
211,ban_pan_1,ban,pan,15,_,.mp3,ban_pan_1_15.mp3
212,barrel_peril_3,barrel,peril,21,_,.mp3,barrel_peril_3_21.mp3
213,bay_pay_1,bay,pay,17,_,.mp3,bay_pay_1_17.mp3
214,bear_pair_1,bear,pair,16,_,.mp3,bear_pair_1_16.mp3
215,beer_peer_1,beer,peer,15,_,.mp3,beer_peer_1_15.mp3
216,bin_pin_3,bin,pin,18,_,.mp3,bin_pin_3_18.mp3
217,bloom_plume_3,bloom,plume,21,_,.mp3,bloom_plume_3_21.mp3
218,bony_pony_1,bony,pony,11,_,.mp3,bony_pony_1_11.mp3
219,bore_pore_1,bore,pore,20,_,.mp3,bore_pore_1_20.mp3
220,bowl_pole_1,bowl,pole,19,_,.mp3,bowl_pole_1_19.mp3
221,bull_pull_3,bull,pull,19,_,.mp3,bull_pull_3_19.mp3
222,bully_pulley_3,bully,pulley,17,_,.mp3,bully_pulley_3_17.mp3
223,bun_pun_3,bun,pun,15,_,.mp3,bun_pun_3_15.mp3
224,burly_pearly_3,burly,pearly,18,_,.mp3,burly_pearly_3_18.mp3
225,dame_tame_1,dame,tame,17,_,.mp3,dame_tame_1_17.mp3
226,dare_tear_1,dare,tear,18,_,.mp3,dare_tear_1_18.mp3
227,deal_teal_1,deal,teal,15,_,.mp3,deal_teal_1_15.mp3
228,dial_tile_1,dial,tile,19,_,.mp3,dial_tile_1_19.mp3
229,die_tie_1,die,tie,22,_,.mp3,die_tie_1_22.mp3
230,dime_time_3,dime,time,21,_,.mp3,dime_time_3_21.mp3
231,din_tin_3,din,tin,17,_,.mp3,din_tin_3_17.mp3
232,doll_tall_3,doll,tall,18,_,.mp3,doll_tall_3_18.mp3
233,dollar_taller_3,dollar,taller,19,_,.mp3,dollar_taller_3_19.mp3
234,doom_toom_3,doom,tomb,16,_,.mp3,doom_toom_3_16.mp3
235,dough_toe_3,dough,toe,19,_,.mp3,dough_toe_3_19.mp3
236,drain_train_1,drain,train,15,_,.mp3,drain_train_1_15.mp3
237,dry_try_3,dry,try,14,_,.mp3,dry_try_3_14.mp3
238,duel_tool_1,duel,tool,14,_,.mp3,duel_tool_1_14.mp3
239,gain_cane_3,gain,cane,19,_,.mp3,gain_cane_3_19.mp3
240,gale_kale_1,gale,kale,20,_,.mp3,gale_kale_1_20.mp3
241,gallery_calorie_3,gallery,calorie,18,_,.mp3,gallery_calorie_3_18.mp3
242,game_came_3,game,came,12,_,.mp3,game_came_3_12.mp3
243,girly_curly_3,girly,curly,16,_,.mp3,girly_curly_3_16.mp3
244,glue_clue_3,glue,clue,13,_,.mp3,glue_clue_3_13.mp3
245,goal_coal_3,goal,coal,17,_,.mp3,goal_coal_3_17.mp3
246,gore_core_3,gore,core,15,_,.mp3,gore_core_3_15.mp3
247,grain_crain_3,grain,crain,16,_,.mp3,grain_crain_3_16.mp3
248,grew_crew_3,grew,crew,18,_,.mp3,grew_crew_3_18.mp3
249,grill_krill_3,grill,krill,12,_,.mp3,grill_krill_3_12.mp3
250,grime_crime_3,grime,crime,17,_,.mp3,grime_crime_3_17.mp3
251,grow_crow_1,grow,crow,12,_,.mp3,grow_crow_1_12.mp3
252,gruel_cruel_3,gruel,cruel,16,_,.mp3,gruel_cruel_3_16.mp3
253,ab_app_1,ab,app,22,_,.mp3,ab_app_1_22.mp3
254,abe_ape_1,abe,ape,26,_,.mp3,abe_ape_1_26.mp3
255,chug_chuck_3,chug,chuck,26,_,.mp3,chug_chuck_3_26.mp3
256,fade_fate_3,fade,fate,22,_,.mp3,fade_fate_3_22.mp3
257,feed_feet_1,feed,feet,24,_,.mp3,feed_feet_1_24.mp3
258,flab_flap_1,flab,flap,26,_,.mp3,flab_flap_1_26.mp3
259,flag_flack_1,flag,flack,26,_,.mp3,flag_flack_1_26.mp3
260,ford_fort_1,ford,fort,26,_,.mp3,ford_fort_1_26.mp3
261,hard_heart_1,hard,heart,26,_,.mp3,hard_heart_1_26.mp3
262,hide_height_3,hide,height,24,_,.mp3,hide_height_3_24.mp3
263,hug_huck_1,hug,huck,23,_,.mp3,hug_huck_1_23.mp3
264,lab_lap_3,lab,lap,25,_,.mp3,lab_lap_3_25.mp3
265,lag_lack_1,lag,lack,17,_,.mp3,lag_lack_1_17.mp3
266,league_leak_1,league,leak,20,_,.mp3,league_leak_1_20.mp3
267,lob_lop_3,lob,lop,22,_,.mp3,lob_lop_3_22.mp3
268,lube_loop_3,lube,loop,22,_,.mp3,lube_loop_3_22.mp3
269,lug_luck_1,lug,luck,23,_,.mp3,lug_luck_1_23.mp3
270,mob_mop_3,mob,mop,25,_,.mp3,mob_mop_3_25.mp3
271,mound_mount_1,mound,mount,24,_,.mp3,mound_mount_1_24.mp3
